SW Req ID,Title,Requirement,Rationale,Verification Method,Verification Statement
LTP-009,Reception Claims Length Limits,The sum of an LTP Reception Claim's length and offset shall not exceed the difference between the upper and lower bounds of the report segment.,This needs to be implemented per RFC 5326 section 3.2.2. The upper and lower bounds define report segment location and the reception claim is a portion of the segment.,Test,This requirement is verified when a test shows that the sum of an LTP Reception Claim's length and offset is between the upper and lower bounds of the report segment.\
LTP-010,Reception Claims Offset,An LTP Reception Claim's offset shall be greater than the sum of the offset and the length of the prior claim.,This needs to be implemented per RFC 5326 section 3.2.2. The LTP Reception Claim should not overlap with a prior claim.,Test,This requirement is verified when a test shows that an LTP Reception Claim's offset is greater than the offset's sum and the prior claim's length.\
LTP-011,Reception Claims Upper Bound,"An LTP Reception Claim's upper bound shall be greater than or equal to the offset, length, and lower bound sum.",This needs to be implemented per RFC 5326 section 3.2.2. It defines the LTP Reception Claim's location in a report segment.,Test,"This requirement is verified when a test shows that an LTP Reception Claim's upper bound is greater than or equal to the sum of the offset, length, and lower bound.\"
LTP-012,Session Management Segments,An LTP Session Management Segment shall consist of a cancel segment or cancel acknowledgment.,This needs to be implemented per RFC 5326 section 3.2.4. Section 3.2.4 defines the contents of a Session Management Segment.,Test,This requirement is verified when a test shows that an LTP Session Management Segment contains either a cancel segment or cancel acknowledgment.\
LTP-013,End of Block,The last data segment in a block shall be marked as the end of block (EOB).,This needs to be implemented per RFC 5326 section 4.1. This determines where the end of the block is located.,Test,This requirement is verified when a test shows that the last data segment in a block is marked as the EOB.\
LTP-014,Data Segment,"An LTP data segment shall only contain either red-part data, green-part data, or both.","This needs to be implemented per RFC 5326 section 4.1. Red and green data segments pertain to the reliability applied to the data segment. Data can be sent reliably, unreliably or a combination of both.",Test,"This requirement is verified when a test shows that an LTP data segment contains either a red-part, a green- part, or both.\"
LTP-015,End of Red-Part,The Last Data Segment for Red-part data shall be marked as the end of red-part (EORP) segment.,This needs to be implemented per RFC 5326 section 4.1. This is needed to determine where the end of red-part data occurs.,Test,This requirement is verified when a test shows that the last data segment for a red- part data is marked as the EORP segment.\
LTP-016,Maximum Transmission Unit,Data shall be subdivided into data segments within a user- specified maximum transmission unit size.,This needs to be implemented per RFC 5326 section 4.1. Data segments must fit into the framing size of the underlying network layers. This will be specific to the user's particular network.,Test,This requirement is verified when a test shows that data segments are within the specified maximum transmission unit size.\
LTP-017,Requirements from the Operating Environment,LTP shall be run directly over a data-link layer protocol.,LTP is meant to provide additional reliability on top of an existing data link layer. HDTN currently supports UDP as the data-link protocol.,Demonstration,This requirement is verified when a demonstration shows a successful LTP communication session over UDP as a data-link layer protocol.\
LTP-018,LTP Link Status,The LTP Engine shall detect the status of an LTP destination.,This needs to be implemented per RFC 5326 section 5. LTP Engine must detect whether the link was brought up or shut down.,Test,This requirement is verified when a test shows that the LTP Engine detects if the link to the destination is active.\
LTP-019,One-way Light Time,The LTP Engine shall read the current distance from the configuration file.,This needs to be implemented per RFC 5326 section 5. This is used to calculate timeout intervals.,Test,This requirement is verified when a test shows that the one-way light time parameter is read correctly from the configuration file.\
LTP-020,Local Data-link Layer Protocols,The content of each local data-link layer protocol frame shall contain an integer number of LTP segments.,This needs to be implemented per RFC 5326 section 5. Fractions of LTP segments would lack the needed context and could become invalid if received out of order.,Test,This requirement is verified when a test shows that the content of each local data- link layer protocol frame is an integral number of LTP segments.\
LTP-021,Invalid Segments,The LTP Engine shall discard invalid segments.,This needs to be implemented per RFC 5326 section 6. LTP segments that do not conform to the specification are discarded.,Test,This requirement is verified when a test shows that the LTP Engine discards invalid segments.\
LTP-022,UNREACH Reason Code,The LTP Engine shall send a Cancel by block Receiver (CR) with reason-code UNREACH if the invalid data segment contains red-part data.,This needs to be implemented per RFC 5326 section 6. Red- part data must be transmitted reliably and the LTP engine must signal if an error has occurred.,Test,This requirement is verified when a test shows that the LTP Engine sends a CR with reason-code UNREACH when an invalid data segment contains red-part data.\
LTP-023,Retransmit Checkpoint,The expiration of a countdown timer associated with a Checkpoint (CP) segment shall invoke the Cancel Session procedure for the session associated with this segment.,"This needs to be implemented per RFC 5326 section 6.7. As countdowns expire, they must end the corresponding session via the cancel session procedure and retransmission.",Test,This requirement is verified when a test shows that the expiration of a countdown timer associated with a CP segment triggers the Cancel Session procedure.\
LTP-024,Retransmit RS,"When the number of times any affected RS segment has been queued for transmission exceeds the report retransmission limit established for the local LTP engine, the ""Cancel Session"" procedure shall be invoked.",This needs to be implemented per RFC 5326 section 6.8. The retransmission limit prevents excessive attempts to retransmit data.,Test,"This requirement is verified when a test shows that the ""cancel session"" procedure is invoked when the retransmission attempts of RS segment(s) exceed the report retransmission limit.\"
LTP-025,Signify Red-Part Reception,"Upon the arrival of a CP segment, when the EORP for this session has been received, and all data in the red-part of the block being transmitted in this session have been received, the LTP engine shall send a red-part reception notice to the specified client service.",This needs to be implemented per RFC 5326 section 6.9. The LTP engine needs to notify the sender when all red- part has been received.,Test,"This requirement is verified when a test shows that the LTP engine sends a red- part reception notice to the specified client service upon the arrival of a CP segment at the end-of-red, and all red-part data in the block being transmitted in this session has been received.\"
LTP-027,Send Reception Report,"When the number of reception problems detected for this session exceeds a limit established for the local LTP engine, the ""Cancel Session"" procedure shall be invoked.",This needs to be implemented per RFC 5326 section 6.11. Resources must be freed if the canceling session exceeds the reception problems limit.,Test,This requirement is verified when a test shows that the cancel session procedure is invoked when the number of reception problems detected for this session exceeds the limit established for the local LTP engine.\
LTP-028,Signify Transmission Completion Notice,A transmission-session completion notice shall be sent to the local client service associated with the session when these conditions have been met: 1. Data in the block is known to have been transmitted. 2. The entire red-part of the block is known to have been successfully received.,"This needs to be implemented per RFC 5326 section 6.12. Need to notify sender when entire transmission has been received, and all data is accounted for.",Test,This requirement is verified when a test shows that a transmission-session completion notice is sent to the local client service associated with the session when these conditions have been met: 1. Data in the block is known to have been transmitted. 2. The entire red-part of the block is known to have been successfully received.\
LTP-029,Reason Code RLEXC,"When the number of transmission problems for this session exceeds a limit established for the local LTP engine, a CS with reason- code Retransmission limit exceeded (RLEXC) shall be appended to the transmission queue specified in the transmission request that started this session, and a transmission-session cancellation notice is sent back to the client service that requested the transmission.",There should only be a finite number of retransmission attempts. See section RFC 5326 section 7.5 for the transmission session cancellation notice.,Test,"This requirement is verified when a test shows that the number of transmission problems for a session exceeds a limit established for the local LTP engine. Also, a CS with reason code RLEXC shall be appended to the transmission queue specified in the transmission request that started the session, and a transmission-session cancellation notice is sent back to the client service that requested the transmission.\"
LTP-030,Stop RS Timer,The countdown timer associated with the original RS segment (identified by the report serial number of the Report-Acknowledgment (RA) segment) shall be deleted upon an RA reception.,This needs to be implemented per RFC 5326 section 6.14. Resources should be freed by ending countdown timers associated with RS segments.,Test,This requirement is verified when a test shows that the bundle agent stops sending Report Segments (RS) for an LTP data segment once a Report Acknowledge (RA) segment is received.\
LTP-031,CS Start Cancel Timer,"Upon the arrival of a link state cue indicating the de- queuing (for transmission) of a CS segment, a countdown timer for the expected arrival time of the Cancel Acknowledgment to block Sender (CAS) segment shall be started.",This needs to be implemented per RFC 5326 section 6.15. Timers are needed to diagnose connection conditions.,Test,This requirement is verified when a test sends an LTP CAS segment after receiving two LTP CS segments and it does not receive an additional LTP CS segment.\
LTP-032,CR Start Cancel Timer,"Upon the arrival of a link state cue indicating the de- queuing (for transmission) of a CR segment, a countdown timer for the expected arrival time of the Cancel- Acknowledgment segment to block Receiver (CAR) segment shall be started.",This needs to be implemented per RFC 5326 section 6.15. Timers are needed to diagnose connection conditions.,Test,This requirement is verified when a test sends an LTP CAR segment after receiving two LTP CR segments and does not receive any additional LTP CR segments.\
LTP-033,CS Acknowledge Cancellation,"When a CS segment has a transmission queue-set bound for the sender, a CAS segment shall be appended to the queue of internal operations traffic bound for the sender.",This needs to be implemented per RFC 5326 section 6.17. The LTP engine needs to acknowledge when a cancel session segment is received.,Test,This requirement is verified when a test sends an LTP CS segment and receives an LTP CAS segment in response.\
LTP-034,CR Acknowledge Cancellation,"When a CR segment has a transmission queue-set bound for the sender, a CAR (cancel acknowledgment to block receiver) segment shall be appended to the queue of internal operations traffic bound for the receiver.",This needs to be implemented per RFC 5326 section 6.17. The LTP engine needs to acknowledge when a cancel session segment is received.,Test,This requirement is verified when a test sends an LTP CR segment and receives an LTP CAR segment in response.\
LTP-035,CAS Stop Cancel Timer,"Upon reception of a CAS segment, the timer associated with the CS segment shall be deleted.",This needs to be implemented per RFC 5326 section 6.18. Resources must be freed by ending countdown timers associated with CS segments.,Test,This requirement is verified when a test sends an LTP CAS segment after receiving two LTP CS segments and no additional LTP CS segments are received.\
LTP-036,CAR Stop Cancel Timer,"Upon reception of a CAR segment, the timer associated with the CR segment shall be deleted.",This needs to be implemented per RFC 5326 section 6.18. Resources must be freed by ending countdown timers associated with CR segments.,Test,This requirement is verified when a test sends an LTP CAR segment after receiving two LTP CR segments and no additional LTP CR segments are received.\
LTP-037,Cancel Session,"When a session is canceled, the LTP engine shall delete all queued segments from outbound traffic queues.",This needs to be implemented per RFC 5326 section 6.19. Resources associated with a canceled session must be freed.,Test,This requirement is verified when a test shows that a cancel acknowledgement for the current session is received and no additional LTP segments are provided with the cancelled session number after a cancel segment is issued.\
LTP-038,Countdown Timers,"When a session is canceled, the LTP engine shall delete all countdown timers currently associated with the session.",This needs to be implemented per RFC 5326 section 6.19. Resources associated with a canceled session must be freed.,Test,This requirement is verified when a test shows that a cancel acknowledgement for the current session is received and no additional LTP segments are provided with the cancelled session number after a cancel segment is issued.\
LTP-040,Close Session,The remaining countdown timers associated with a closed session shall be deleted.,This needs to be implemented per RFC 5326 section 6.20. Resources associated with a closed session must be freed.,Test,"This requirement is verified when a test sends an LTP RS segment with a session number from a completed session, and confirms that no LTP RA segment is received.\"
LTP-041,Handling Miscolored Segments,"When miscolored data blocks are received, the LTP engine shall discard them.",This needs to be implemented per RFC 5326 section 6.21. Miscolored data blocks need to be removed from the system. This procedure is triggered by the arrival of either (a) a red-part data segment whose block offset begins at an offset higher than the block offset of any green- part data segment previously received for the same session or (b) a green-part data segment whose block offset is lower than the block offset of any red-part data segment previously received for the same session. The arrival of a segment matching either of the above checks violates the protocol requirement of having all red-part data as the block prefix and all green-part data as the block suffix.,Test,This requirement is verified when a test shows that miscolored data blocks are discarded.\
LTP-042,Cancel Session for Miscolored Data,The local LTP engine shall cancel the session when miscolored data blocks are received.,This needs to be implemented per RFC 5326 section 6.21. The LTP engine should prevent further miscolored blocks from entering the system.,Test,This requirement is verified when a test shows that the LTP session is canceled when miscolored data has been received.\
LTP-043,UDP Port Number for LTP,The UDP port number shall be user-configurable.,This needs to be implemented per RFC 5326 section 10.1.,Test,This requirement is verified when a test shows that the LTP port is configured based on the configuration file.\
HDTNBPGEN-001,BPGen Bundle Size,The BPGen application shall generate bundles with the size specified.,The bundle size is configurable in support of benchmark testing.,Test,This requirement is verified when a test shows the transmitted bundle payload size matches the user- specified size.\
HDTNBPGEN-002,BPGen Aggregate Custody Signals,The BPGen application shall allow aggregate custody signal custody transfer usage.,Aggregate custody signals provide bundle layer reliability when using the Bundle Protocol version 6.,Demonstration,"This requirement is verified when a demonstration shows the BPGen application is configured to use aggregate custody signals when a Bundle Protocol Version 6 is configured, and bundles are transmitted successfully.\"
HDTNBPGEN-003,BPGen Bidirectional Communication,The BPGen application shall support bidirectional communication when receiving custody signals.,Bidirectional communication is needed for acknowledgments when using the Bundle Protocol version 6.,Demonstration,"This requirement is verified when a demonstration shows the BPGen application is configured to use custody signals when a Bundle Protocol Version 6 is configured, and bundles are transmitted successfully.\"
HDTNBPGEN-004,BPGen Bundle Priority,The BPGen application shall have the option to specify the bundle priority from the predefined range for BP version 6.,Bundle priority is a part of RFC 5050 and QoS support.,Test,This requirement is verified when a test shows that the bundle priority field of a transmitted bundle matches the specified priority.\
HDTNBPGEN-005,BPGen Statistics,The BPGen application shall keep statistics of bundle count and order.,Statistics are needed for debugging purposes.,Test,This requirement is verified when a test shows that bundle count and bundle order statistics are generated correctly.\
HDTNBPGEN-006,BPGen Rate,The BPGen application shall transfer bundles at a specified rate.,"Convergence layers such as LTP and UDP must have a rate set, or bundles will be dropped.",Test,This requirement is verified when a test shows that the bundles per second generated (approximately/are within 10%) match the specified rate.\
HDTNBPGEN-007,BPGen Duration,The BPGen application shall send bundles for a specified duration.,The user should be able to set a time for the application to stop sending data.,Test,This requirement is verified when a test shows that the application stops sending bundles after the specified duration.\
HDTNBPGEN-008,BPGen Destination,The BPGen application shall send bundle data to a specified EID.,The application needs a destination Endpoint ID to send bundles to.,Test,This requirement is verified when a test shows that the transmitted bundles' bundle destination EID field matches the specified EID.\
HDTNBPGEN-009,BPGen Source,The BPGen application shall send bundle data with a specified source EID.,The application needs to specify a source Endpoint ID.,Test,This requirement is verified when a test shows that the transmitted bundles' bundle source EID field matches the specified EID.\
HDTNBPGEN-010,BPGen Timeout,The BPGen application shall allow the user to specify a maximum timeout.,A timeout should be specified to determine if bundles are being received. This works for convergence layers that support acknowledgments.,Test,This requirement is verified when a test using a TCP- based outduct shows an error message is printed when BPGen is sending bundles faster than the receiver is reading them for the specified number of seconds.\
HDTNBPGEN-012,BPGen Bundle Lifetime,The BPGen application shall allow the user to set a maximum bundle lifetime.,A bundle lifetime is needed to determine how long bundles should be kept in storage.,Test,This requirement is verified when a test shows the transmitted bundles' bundle time to live field matches the specified bundle lifetime.\
HDTNBPGEN-013,BPGen Convergence-layer adapter (CLA) Rate,The BPGen application shall allow the user to specify a CLA rate.,The application will configure with the provided value if the convergence layer supports the rate configuration.,Demonstration,This requirement is verified when a demonstration shows that bundles are transmitted according to the specified rate. This only pertains to UDP and LTP.\
HDTNBPGEN-014,BPGen LTP Convergence Layer,The BPGen application shall support the LTP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use an LTP convergence layer and bundles are transmitted successfully.\
HDTNBPGEN-015,BPGen TCP Convergence Layer,The BPGen application shall support the TCP version 4 convergence layer.,The convergence layer requirements are implemented as part of the HDTN development . This application can be configured to use the convergence layer.,Demonstration,"This requirement is verified when a demonstration shows the BPGen application is configured to use a TCP v4 convergence layer, and bundles are received successfully.\"
HDTNBPGEN-016,BPGen UDP Convergence Layer,The BPGen application shall support the UDP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use a UDP convergence layer and bundles are received successfully.\
HDTNBPGEN-017,BPGen STCP Convergence Layer,The BPGen application shall support the STCP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use an STCP convergence layer and bundles are received successfully.\
HDTNBPGEN-018,BPGen Bundle Protocol Version 6,The BPGen application shall support Bundle Protocol version 6.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use a Bundle Protocol v6 convergence layer and bundles are received successfully.\
HDTNBPGEN-019,BPGen Bundle Protocol Version 7,The BPGen application shall support Bundle Protocol version 7.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use a Bundle Protocol v7 convergence layer and bundles are received successfully.\
HDTNBPGEN-020,BPGen BPSec Support,The BPGen application shall support BPSec (RFC9172/RFC9173).,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPGen application is configured to use BpSec and bundles are received successfully.\
HDTNBPGEN-021,BPGen Custodian Service ID,The BPGen application shall have the option to specify the Custodian Service ID for the node.,The user can specify the custodian service ID to identify who will receive a response.,Test,This requirement is verified when a test shows bundles generated by BPGen contain the custodian service ID.\
HDTNBPSNK-001,BPSink Statistics,The BPSink application shall keep statistics of bundle count and order.,Statistics are needed for debugging purposes.,Test,This requirement is verified when a test shows that bundle count and bundle order statistics are generated correctly.\
HDTNBPSNK-002,BPSink Data Received,The BPSink application shall discard the data received after taking the statistics.,BPSink is a test application and is not meant to store data.,Demonstration,This requirement is verified when a demonstration shows that received bundles are discarded after generating associated statistics.\
HDTNBPSNK-003,BPSink LTP Convergence Layer,The BPSink application shall support the LTP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use an LTP convergence layer and bundles are transmitted successfully.\
HDTNBPSNK-004,BPSink TCP Convergence Layer,The BPSink application shall support the TCP version 4 convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use a TCP v4 convergence layer and bundles are received successfully.\
HDTNBPSNK-005,BPSink UDP Convergence Layer,The BPSink application shall support the UDP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use a UDP convergence layer and bundles are received successfully.\
HDTNBPSNK-006,BPSink STCP Convergence Layer,The BPSink application shall support the STCP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use an STCP convergence layer and bundles are received successfully.\
HDTNBPSNK-007,BPSink Bundle Protocol Version 6,The BPSink application shall support Bundle Protocol version 6.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use a Bundle Protocol v6 convergence layer and bundles are received successfully.\
HDTNBPSNK-008,BPSink Bundle Protocol Version 7,The BPSink application shall support Bundle Protocol version 7.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use a Bundle Protocol v7 convergence layer and bundles are received successfully.\
HDTNBPSNK-009,BPSink BPSec Support,The BPSink application shall support BPSec (RFC9172/RFC9173).,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use BpSec and bundles are received successfully.\
HDTNBPSNK-010,BPSink Aggregate Custody Signals,The BPSink application shall allow aggregate custody signal custody transfer usage.,Aggregate custody signals provide bundle layer reliability when using the Bundle Protocol version 6.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use aggregate custody signals when a Bundle Protocol Version 6 is configured and bundles are transmitted successfully.\
HDTNBPSNK-011,BPSink Bidirectional Communication,The BPSink application shall support bidirectional communication when receiving custody signals.,Bidirectional communication is needed for acknowledgments when using the Bundle Protocol version 6.,Demonstration,This requirement is verified when a demonstration shows the BPSink application is configured to use custody signals when a Bundle Protocol Version 6 is configured and bundles are transmitted successfully.\
HDTNBPSNK-012,BPSink Destination,The BPSink application shall receive bundle data with a specified EID.,The application needs a destination Endpoint ID to receive bundles.,Test,This requirement is verified when a test shows that the received bundles' bundle destination EID field matches the specified EID.\
HDTNBPING-001,BPing Creation Timestamp,The BPing application shall create a custom payload bundle with the creation timestamp.,The timestamp is used to calculate bundle life elapsed time.,Test,This requirement is verified when a test shows that a series of bundles contain unique payloads with the bundle's creation timestamp.\
HDTNBPING-002,BPing Destination Endpoint ID,The BPing application shall send the custom payload bundle to a specified node and service ID.,"The node will be the end recipient of the bundle. The service ID should be an ID that correlates to an ""ECHO"" service, which will generate a response.",Test,This requirement is verified when a test shows that bundles are sent to and received by the specified node and service ID.\
HDTNBPING-003,BPing Elapsed Time Calculation,The BPing application shall calculate the time elapsed from received payload bundles with specified service ID.,This calculation is used to know how long it took to receive a response.,Test,This requirement is verified when a test shows the correct time elapsed is calculated to receive a bundle.\
HDTNBPING-004,BPing Elapsed Time Display,The BPing application shall display the calculated time elapsed to the user.,This provides the user with information about the network.,Test,This requirement is verified when a test shows that the correct time elapsed to receive a bundle is printed to standard out.\
HDTNBPING-005,BPing Send Duration,The BPing application shall send a series of bundles for the specified duration.,The application can be configured to send multiple bundles to calculate the responses' average duration.,Test,This requirement is verified when a test shows that the application stops sending bundles after the specified duration.\
HDTNBPING-006,BPing Response Received,The BPing application shall send a new custom payload bundle after receiving a response.,The application will continuously generate a new bundle after receiving a response unless a specific number is provided or the application is stopped.,Test,This requirement is verified when a test shows that a new bundle is sent after receiving a response.\
HDTNBPING-007,BPing LTP Convergence Layer,The BPing application shall support the LTP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use an LTP convergence layer and bundles are transmitted successfully.\
HDTNBPING-008,BPing TCP Convergence Layer,The BPing application shall support the TCP version 4 convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use a TCP v4 convergence layer and bundles are received successfully.\
HDTNBPING-009,BPing UDP Convergence Layer,The BPing application shall support the UDP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use a UDP convergence layer and bundles are received successfully.\
HDTNBPING-010,BPing STCP Convergence Layer,The BPing application shall support the STCP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use an STCP convergence layer and bundles are received successfully.\
HDTNBPING-011,BPing Bundle Protocol Version 6,The BPing application shall support Bundle Protocol version 6.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use a Bundle Protocol v6 convergence layer and bundles are received successfully.\
HDTNBPING-012,BPing Bundle Protocol Version 7,The BPing application shall support Bundle Protocol version 7.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPing application is configured to use a Bundle Protocol v7 convergence layer and bundles are received successfully.\
HDTNBPSF-001,BPSendFile Maximum Bundle Size,The BPSendFile application shall allow the user to specify the maximum bundle size.,"There is no maximum size for a bundle according to BPv6 and BPv7, so the user sets the maximum size limit.",Demonstration,This requirement is verified when a demonstration shows the user can configure the maximum bundle size.\
HDTNBPSF-002,BPSendFile Minimize Bundles Transmitted,The BPSendFile application shall minimize the number of bundles transmitted per file.,Bundles should be sized according to the maximum bundle size when possible.,Test,"This requirement is verified when a test is performed to ensure that each file is transmitted using the fewest possible number of bundles, considering the maximum bundle size.\"
HDTNBPSF-003,BPSendFile Transmit Existing Files,The BPSendFile application shall be able to transmit existing files from a user-specified directory.,BPSendFile reads files from a directory into memory and transmits them as bundles.,Demonstration,This requirement is verified when a demonstration shows that an option exists to transmit existing files from a user-specified directory.\
HDTNBPSF-004,BPSendFile Transmit Newly Added Files,The BPSendFile shall be able to transmit new files added to an existing directory.,Polling for new files added to the directory is a configurable option.,Demonstration,This requirement is verified when a demonstration shows an option to transmit newly added files from an existing user-specified directory.\
HDTNBPSF-005,BPSendFile Bundle Protocol Version 6,The BPSendFile application shall support Bundle Protocol version 6.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use a Bundle Protocol v6 convergence layer and bundles are received successfully.\
HDTNBPSF-006,BPSendFile Bundle Protocol Version 7,The BPSendFile application shall support Bundle Protocol version 7.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use a Bundle Protocol v7 convergence layer and bundles are received successfully.\
HDTNBPSF-007,BPSendFile BPSec Support,The BPSendFile application shall support BPSec (RFC9172/RFC9173).,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use BpSec and bundles are received successfully.\
HDTNBPSF-008,BPSendFile Bundle Lifetime,The BPSendFile application shall allow the user to set a maximum bundle lifetime.,A bundle lifetime is needed to determine how long bundles should be kept in storage.,Test,This requirement is verified when a test shows the transmitted bundles' bundle time to live field matches the specified bundle lifetime.\
HDTNBPSF-009,BPSendFile Bundle Priority,The BPSendFile application shall have the option to specify the bundle priority from the predefined range for BP version 6.,Bundle priority is a part of RFC 5050 and QoS support.,Test,This requirement is verified when a test shows that the bundle priority field of a transmitted bundle matches the specified priority.\
HDTNBPSF-010,BPSendFile Destination,The BPSendFile application shall send bundle data to a specified EID.,The application needs a destination Endpoint ID to send bundles to.,Test,This requirement is verified when a test shows that the transmitted bundles' bundle destination EID field matches the specified EID.\
HDTNBPSF-011,BPSendFile Source,The BPSendFile application shall send bundle data with a specified source EID.,The application needs to specify a source Endpoint ID.,Test,This requirement is verified when a test shows that the transmitted bundles' bundle source EID field matches the specified EID.\
HDTNBPSF-012,BPSendFile Report To EID,The BPSendFile application shall have the option to specify the Report To EID for the node.,The Report To EID is needed for BP version 6 to know which endpoint receives status reports.,Test,This requirement is verified when a test shows the transmitted bundles' bundle report to EID field matches the specified EID.\
HDTNBPSF-013,BPSendFile TCP Convergence Layer,The BPSendFile application shall support the TCP version 4 convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use a TCP v4 convergence layer and bundles are received successfully.\
HDTNBPSF-014,BPSendFile UDP Convergence Layer,The BPSendFile application shall support the UDP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use a UDP convergence layer and bundles are received successfully.\
HDTNBPSF-015,BPSendFile STCP Convergence Layer,The BPSendFile application shall support the STCP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use an STCP convergence layer and bundles are received successfully.\
HDTNBPSF-016,BPSendFile LTP Convergence Layer,The BPSendFile application shall support the LTP convergence layer.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPSendFile application is configured to use an LTP convergence layer and bundles are transmitted successfully.\
HDTNBPRF-001,BPReceiveFile Bundle Protocol Version 6,The BPReceiveFile application shall support Bundle Protocol version 6.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPReceiveFile application is configured to use a Bundle Protocol v6 convergence layer and bundles are received successfully.\
HDTNBPRF-002,BPReceiveFile Bundle Protocol Version 7,The BPReceiveFile application shall support Bundle Protocol version 7.,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPReceiveFile application is configured to use a Bundle Protocol v7 convergence layer and bundles are received successfully.\
HDTNBPRF-003,BPReceiveFile BPSec Support,The BPReceiveFile application shall support BPSec (RFC9172/RFC9173).,The convergence layer requirements are implemented as part of the HDTN development. This application can be configured to use the convergence layer.,Demonstration,This requirement is verified when a demonstration shows the BPReceiveFile application is configured to use BpSec and bundles are received successfully.\
HDTNBPRF-004,BPReceiveFile Destination,The BPReceiveFile application shall receive bundle data with a specified EID.,The application needs a destination Endpoint ID to receive bundles.,Test,This requirement is verified when a test shows that the received bundles' bundle destination EID field matches the specified EID.\
